year,quarter,registered_users,total_open_apps,phone_brand,phone_count,Percentage
2018,1,46877867,0,Xiaomi,11926334,25.44
2018,1,46877867,0,Samsung,9609401,20.50
2018,1,46877867,0,Vivo,5894293,12.57
2018,1,46877867,0,Oppo,4479351,9.56
2018,1,46877867,0,Realme,2376866,5.07
2018,1,46877867,0,Apple,1825153,3.89
2018,1,46877867,0,Motorola,1593250,3.40
2018,1,46877867,0,OnePlus,1536418,3.28
2018,1,46877867,0,Lenovo,1246507,2.66
2018,1,46877867,0,Huawei,808774,1.73
2018,1,46877867,0,Others,5581520,11.91
2018,2,63648311,0,Xiaomi,16416511,25.79
2018,2,63648311,0,Samsung,12943051,20.34
2018,2,63648311,0,Vivo,8365074,13.14
2018,2,63648311,0,Oppo,6246581,9.81
2018,2,63648311,0,Realme,3165738,4.97
2018,2,63648311,0,Apple,2326897,3.66
2018,2,63648311,0,Motorola,2099718,3.30
2018,2,63648311,0,OnePlus,1890141,2.97
2018,2,63648311,0,Lenovo,1627153,2.56
2018,2,63648311,0,Huawei,1104740,1.74
2018,2,63648311,0,Others,7462707,11.72
2018,3,80010952,0,Xiaomi,20859459,26.07
2018,3,80010952,0,Samsung,16228372,20.28
2018,3,80010952,0,Vivo,11118842,13.90
2018,3,80010952,0,Oppo,8103650,10.13
2018,3,80010952,0,Realme,3962596,4.95
2018,3,80010952,0,Apple,2774989,3.47
2018,3,80010952,0,Motorola,2529272,3.16
2018,3,80010952,0,OnePlus,2231557,2.79
2018,3,80010952,0,Lenovo,1857680,2.32
2018,3,80010952,0,Huawei,1444125,1.80
2018,3,80010952,0,Others,8900410,11.12
2018,4,102262055,0,Xiaomi,26709586,26.12
2018,4,102262055,0,Samsung,20740259,20.28
2018,4,102262055,0,Vivo,14966905,14.64
2018,4,102262055,0,Oppo,10754040,10.52
2018,4,102262055,0,Realme,4997725,4.89
2018,4,102262055,0,Apple,3435529,3.36
2018,4,102262055,0,Motorola,3089947,3.02
2018,4,102262055,0,OnePlus,2668868,2.61
2018,4,102262055,0,Lenovo,2257295,2.21
2018,4,102262055,0,Huawei,1899667,1.86
2018,4,102262055,0,Others,10742234,10.50
2019,1,123432699,0,Xiaomi,32175910,26.07
2019,1,123432699,0,Samsung,25070398,20.31
2019,1,123432699,0,Vivo,18778714,15.21
2019,1,123432699,0,Oppo,13426696,10.88
2019,1,123432699,0,Realme,5948556,4.82
2019,1,123432699,0,Apple,4005092,3.24
2019,1,123432699,0,Motorola,3531217,2.86
2019,1,123432699,0,OnePlus,3042107,2.46
2019,1,123432699,0,Lenovo,2553783,2.07
