state,year,quarter,registered_users,total_open_apps,phone_brand,phone_count,Percentage
chandigarh,2018,1,86268,0,Xiaomi,20555,23.83
chandigarh,2018,1,86268,0,Samsung,17266,20.01
chandigarh,2018,1,86268,0,Vivo,9360,10.85
chandigarh,2018,1,86268,0,Oppo,7948,9.21
chandigarh,2018,1,86268,0,Apple,7552,8.75
chandigarh,2018,1,86268,0,OnePlus,3638,4.22
chandigarh,2018,1,86268,0,Motorola,3105,3.60
chandigarh,2018,1,86268,0,Realme,2995,3.47
chandigarh,2018,1,86268,0,Lenovo,1965,2.28
chandigarh,2018,1,86268,0,Micromax,1558,1.81
chandigarh,2018,1,86268,0,Others,10326,11.97
chandigarh,2018,2,115219,0,Xiaomi,27862,24.18
chandigarh,2018,2,115219,0,Samsung,23093,20.04
chandigarh,2018,2,115219,0,Vivo,13375,11.61
chandigarh,2018,2,115219,0,Oppo,11129,9.66
chandigarh,2018,2,115219,0,Apple,9962,8.65
chandigarh,2018,2,115219,0,OnePlus,4466,3.88
chandigarh,2018,2,115219,0,Motorola,3914,3.40
chandigarh,2018,2,115219,0,Realme,3861,3.35
chandigarh,2018,2,115219,0,Lenovo,2511,2.18
chandigarh,2018,2,115219,0,Micromax,2049,1.78
chandigarh,2018,2,115219,0,Others,12997,11.28
chandigarh,2018,3,143893,0,Xiaomi,34852,24.22
chandigarh,2018,3,143893,0,Samsung,28614,19.89
chandigarh,2018,3,143893,0,Vivo,17910,12.45
chandigarh,2018,3,143893,0,Oppo,14437,10.03
chandigarh,2018,3,143893,0,Apple,12403,8.62
chandigarh,2018,3,143893,0,OnePlus,5178,3.60
chandigarh,2018,3,143893,0,Realme,4664,3.24
chandigarh,2018,3,143893,0,Motorola,4590,3.19
chandigarh,2018,3,143893,0,Lenovo,2926,2.03
chandigarh,2018,3,143893,0,Micromax,2395,1.66
chandigarh,2018,3,143893,0,Others,15924,11.07
chandigarh,2018,4,177747,0,Xiaomi,43505,24.48
chandigarh,2018,4,177747,0,Samsung,35417,19.93
chandigarh,2018,4,177747,0,Vivo,23567,13.26
chandigarh,2018,4,177747,0,Oppo,18698,10.52
chandigarh,2018,4,177747,0,Apple,15191,8.55
chandigarh,2018,4,177747,0,OnePlus,6197,3.49
chandigarh,2018,4,177747,0,Realme,5731,3.22
chandigarh,2018,4,177747,0,Motorola,5354,3.01
chandigarh,2018,4,177747,0,Lenovo,3148,1.77
chandigarh,2018,4,177747,0,Huawei,2838,1.60
chandigarh,2018,4,177747,0,Others,18101,10.18
chandigarh,2019,1,209175,0,Xiaomi,51075,24.42
chandigarh,2019,1,209175,0,Samsung,41609,19.89
chandigarh,2019,1,209175,0,Vivo,29056,13.89
chandigarh,2019,1,209175,0,Oppo,23095,11.04
chandigarh,2019,1,209175,0,Apple,17580,8.40
chandigarh,2019,1,209175,0,OnePlus,6880,3.29
chandigarh,2019,1,209175,0,Realme,6690,3.20
chandigarh,2019,1,209175,0,Motorola,6007,2.87
