year,quarter,state_name/ut_name,districts_name,total_transactions_count,total_transactions_amount
2020,2,chandigarh,chandigarh district,149,29537.0
2020,3,chandigarh,chandigarh district,264,70969.0
2020,4,chandigarh,chandigarh district,200,153341.0
2021,1,chandigarh,chandigarh district,338,238576.0
2021,2,chandigarh,chandigarh district,378,310943.0
2021,3,chandigarh,chandigarh district,494,469634.0
2021,4,chandigarh,chandigarh district,710,835813.0
2022,1,chandigarh,chandigarh district,792,1150932.0
2022,2,chandigarh,chandigarh district,1330,1874959.0
2022,3,chandigarh,chandigarh district,1533,1998439.0
2022,4,chandigarh,chandigarh district,1403,2024528.0
2020,2,sikkim,south district,4,1058.0
2020,2,sikkim,east district,16,3449.0
2020,2,sikkim,north district,1,282.0
2020,3,sikkim,south district,20,5534.0
2020,3,sikkim,west district,5,1319.0
2020,3,sikkim,east district,66,20284.0
2020,3,sikkim,north district,3,863.0
2020,4,sikkim,south district,11,26418.0
2020,4,sikkim,west district,7,7085.0
2020,4,sikkim,east district,41,26778.0
2020,4,sikkim,north district,8,9933.0
2021,1,sikkim,south district,20,15924.0
2021,1,sikkim,west district,22,20672.0
2021,1,sikkim,east district,72,64393.0
2021,1,sikkim,north district,8,10788.0
2021,2,sikkim,south district,23,30261.0
2021,2,sikkim,west district,7,4827.0
2021,2,sikkim,east district,55,77437.0
2021,2,sikkim,north district,8,9539.0
2021,3,sikkim,south district,21,29274.0
2021,3,sikkim,west district,9,7336.0
2021,3,sikkim,east district,67,86194.0
2021,3,sikkim,north district,9,17748.0
2021,4,sikkim,south district,41,85646.0
2021,4,sikkim,west district,29,84762.0
2021,4,sikkim,east district,109,291074.0
2021,4,sikkim,north district,16,42050.0
2022,1,sikkim,south district,35,101663.0
2022,1,sikkim,west district,37,91888.0
2022,1,sikkim,east district,157,463841.0
2022,1,sikkim,north district,10,28595.0
2022,2,sikkim,south district,14,27179.0
2022,2,sikkim,west district,35,84909.0
2022,2,sikkim,east district,99,233452.0
2022,2,sikkim,north district,12,38169.0
2022,3,sikkim,south district,34,65600.0
2022,3,sikkim,west district,30,71337.0
2022,3,sikkim,east district,165,310190.0
2022,3,sikkim,north district,14,27813.0
2022,4,sikkim,south district,45,74025.0
2022,4,sikkim,west district,43,147415.0
2022,4,sikkim,east district,192,377889.0
2022,4,sikkim,north district,26,67885.0
2020,2,karnataka,mysuru district,767,144997.0
2020,2,karnataka,chitradurga district,137,29079.0
2020,2,karnataka,kalaburagi district,217,43849.0
2020,2,karnataka,ramanagara district,259,54476.0
2020,2,karnataka,mandya district,183,38693.0
2020,2,karnataka,kodagu district,52,12092.0
2020,2,karnataka,chikkamagaluru district,140,28853.0
2020,2,karnataka,haveri district,98,22383.0
2020,2,karnataka,ballari district,611,120952.0
2020,2,karnataka,belagavi district,590,111501.0
2020,2,karnataka,kolar district,205,43378.0
2020,2,karnataka,uttara kannada district,195,44254.0
2020,2,karnataka,tumakuru district,372,75362.0
2020,2,karnataka,yadgir district,56,14419.0
2020,2,karnataka,bengaluru urban district,20040,3301769.0
2020,2,karnataka,chikkaballapura district,231,49467.0
2020,2,karnataka,davanagere district,309,59794.0
2020,2,karnataka,bagalkote district,116,26873.0
2020,2,karnataka,vijayapura district,207,44039.0
2020,2,karnataka,koppal district,99,22296.0
2020,2,karnataka,bidar district,136,30258.0
2020,2,karnataka,bengaluru rural district,416,83476.0
2020,2,karnataka,raichur district,175,39720.0
2020,2,karnataka,chamarajanagara district,52,11113.0
2020,2,karnataka,dakshina kannada district,380,80252.0
2020,2,karnataka,hassan district,176,37175.0
2020,2,karnataka,dharwad district,656,119671.0
2020,2,karnataka,shivamogga district,232,49738.0
2020,2,karnataka,udupi district,191,40248.0
2020,2,karnataka,gadag district,60,13973.0
2020,3,karnataka,mysuru district,2128,558128.0
2020,3,karnataka,chitradurga district,447,109659.0
2020,3,karnataka,kalaburagi district,714,190305.0
2020,3,karnataka,ramanagara district,561,138904.0
2020,3,karnataka,mandya district,576,148053.0
2020,3,karnataka,kodagu district,124,31651.0
2020,3,karnataka,chikkamagaluru district,319,89016.0
2020,3,karnataka,haveri district,378,92186.0
2020,3,karnataka,ballari district,1213,306386.0
2020,3,karnataka,belagavi district,2016,533172.0
2020,3,karnataka,kolar district,611,158524.0
2020,3,karnataka,uttara kannada district,579,149066.0
2020,3,karnataka,tumakuru district,1236,311665.0
2020,3,karnataka,yadgir district,190,49296.0
2020,3,karnataka,bengaluru urban district,32192,6940765.0
2020,3,karnataka,chikkaballapura district,453,108480.0
2020,3,karnataka,davanagere district,743,190154.0
2020,3,karnataka,bagalkote district,697,177054.0
2020,3,karnataka,vijayapura district,768,175988.0
2020,3,karnataka,koppal district,393,105433.0
2020,3,karnataka,bidar district,528,128168.0
2020,3,karnataka,bengaluru rural district,1068,267171.0
2020,3,karnataka,raichur district,631,147182.0
2020,3,karnataka,chamarajanagara district,142,40852.0
2020,3,karnataka,dakshina kannada district,1271,330557.0
2020,3,karnataka,hassan district,547,155607.0
2020,3,karnataka,dharwad district,1606,358476.0
2020,3,karnataka,shivamogga district,781,200079.0
2020,3,karnataka,udupi district,502,139549.0
2020,3,karnataka,gadag district,287,75868.0
2020,4,karnataka,mysuru district,1109,1073388.0
2020,4,karnataka,chitradurga district,280,198419.0
2020,4,karnataka,kalaburagi district,472,383654.0
2020,4,karnataka,ramanagara district,392,349122.0
2020,4,karnataka,mandya district,385,355768.0
2020,4,karnataka,kodagu district,81,119477.0
2020,4,karnataka,chikkamagaluru district,192,169902.0
2020,4,karnataka,haveri district,230,183717.0
2020,4,karnataka,ballari district,863,690500.0
2020,4,karnataka,belagavi district,1586,924521.0
2020,4,karnataka,kolar district,482,516354.0
