year,quarter,state/ut_name,registered_users
2018,1,puducherry,49318
2018,1,tamil nadu,2104754
2018,1,uttar pradesh,4694250
2018,1,madhya pradesh,2553603
2018,1,andhra pradesh,3336450
2018,1,tripura,55157
2018,1,lakshadweep,501
2018,1,manipur,29925
2018,1,maharashtra,6106994
2018,1,dadra & nagar haveli & daman & diu,53258
2018,1,meghalaya,18513
2018,1,andaman & nicobar islands,6740
2018,1,haryana,1847357
2018,1,rajasthan,3158202
2018,1,ladakh,8784
2018,1,punjab,847142
2018,1,assam,385237
2018,1,jharkhand,885762
2018,1,odisha,1594015
2018,1,bihar,2133804
2018,1,kerala,784184
2018,1,karnataka,3717763
2018,1,chandigarh,86268
2018,1,telangana,3315560
2018,1,himachal pradesh,227373
2018,1,west bengal,2604789
2018,1,gujarat,2690048
2018,1,sikkim,20051
2018,1,nagaland,15074
2018,1,mizoram,7593
2018,1,chhattisgarh,679263
2018,1,jammu & kashmir,176425
2018,1,goa,91936
2018,1,arunachal pradesh,21495
2018,1,delhi,2087022
2018,1,uttarakhand,483043
2018,2,puducherry,65580
2018,2,tamil nadu,2996036
2018,2,uttar pradesh,6442554
2018,2,madhya pradesh,3441662
2018,2,andhra pradesh,4402540
2018,2,tripura,83369
2018,2,lakshadweep,686
2018,2,manipur,46055
2018,2,maharashtra,8222371
2018,2,dadra & nagar haveli & daman & diu,71458
2018,2,meghalaya,26618
2018,2,andaman & nicobar islands,9405
2018,2,haryana,2447221
2018,2,rajasthan,4212964
2018,2,ladakh,12918
2018,2,punjab,1152190
2018,2,assam,571046
2018,2,jharkhand,1230599
2018,2,odisha,2185781
2018,2,bihar,3005872
2018,2,kerala,1066587
2018,2,karnataka,5030665
2018,2,chandigarh,115219
2018,2,telangana,4260115
2018,2,himachal pradesh,315299
2018,2,west bengal,3833795
2018,2,gujarat,3565825
2018,2,sikkim,28097
2018,2,nagaland,22436
2018,2,mizoram,10422
2018,2,chhattisgarh,950675
2018,2,jammu & kashmir,261609
2018,2,goa,122174
2018,2,arunachal pradesh,32883
2018,2,delhi,2756141
2018,2,uttarakhand,649142
2018,3,puducherry,81546
2018,3,tamil nadu,3900177
2018,3,uttar pradesh,8096483
2018,3,madhya pradesh,4309309
2018,3,andhra pradesh,5427617
2018,3,tripura,116874
2018,3,lakshadweep,918
2018,3,manipur,61935
2018,3,maharashtra,10435033
2018,3,dadra & nagar haveli & daman & diu,92107
2018,3,meghalaya,37281
2018,3,andaman & nicobar islands,12149
2018,3,haryana,3020398
2018,3,rajasthan,5175453
2018,3,ladakh,17749
2018,3,punjab,1473148
2018,3,assam,784802
2018,3,jharkhand,1532362
2018,3,odisha,2795718
2018,3,bihar,3784535
2018,3,kerala,1347598
2018,3,karnataka,6372649
2018,3,chandigarh,143893
2018,3,telangana,5138501
2018,3,himachal pradesh,407634
2018,3,west bengal,4851740
2018,3,gujarat,4433183
2018,3,sikkim,37637
2018,3,nagaland,32090
2018,3,mizoram,14502
2018,3,chhattisgarh,1217792
2018,3,jammu & kashmir,342529
2018,3,goa,153802
2018,3,arunachal pradesh,45922
2018,3,delhi,3504911
2018,3,uttarakhand,810612
2018,4,puducherry,109494
2018,4,tamil nadu,5199878
2018,4,uttar pradesh,10341964
2018,4,madhya pradesh,5365442
2018,4,andhra pradesh,6857409
2018,4,tripura,153265
2018,4,lakshadweep,1156
2018,4,manipur,82589
2018,4,maharashtra,13381602
2018,4,dadra & nagar haveli & daman & diu,116511
2018,4,meghalaya,49634
2018,4,andaman & nicobar islands,15222
2018,4,haryana,3793079
2018,4,rajasthan,6358738
2018,4,ladakh,23883
2018,4,punjab,1865715
2018,4,assam,1039221
2018,4,jharkhand,1913949
2018,4,odisha,3623911
2018,4,bihar,4776665
2018,4,kerala,1757326
2018,4,karnataka,8315802
2018,4,chandigarh,177747
2018,4,telangana,6529679
2018,4,himachal pradesh,526343
2018,4,west bengal,6279278
2018,4,gujarat,5579040
2018,4,sikkim,48538
2018,4,nagaland,42997
2018,4,mizoram,19365
2018,4,chhattisgarh,1579998
2018,4,jammu & kashmir,436563
2018,4,goa,195350
2018,4,arunachal pradesh,61852
2018,4,delhi,4630313
2018,4,uttarakhand,1012103
2019,1,puducherry,133059
2019,1,tamil nadu,6296303
2019,1,uttar pradesh,12458661
2019,1,madhya pradesh,6414403
2019,1,andhra pradesh,8283019
2019,1,tripura,183254
2019,1,lakshadweep,1416
2019,1,manipur,99527
2019,1,maharashtra,16284451
2019,1,dadra & nagar haveli & daman & diu,140532
2019,1,meghalaya,61487
2019,1,andaman & nicobar islands,18596
2019,1,haryana,4538767
2019,1,rajasthan,7712204
2019,1,ladakh,29649
2019,1,punjab,2226590
2019,1,assam,1259085
2019,1,jharkhand,2279329
2019,1,odisha,4320744
2019,1,bihar,5745117
2019,1,kerala,2136624
2019,1,karnataka,10266174
2019,1,chandigarh,209175
2019,1,telangana,7963425
2019,1,himachal pradesh,653205
2019,1,west bengal,7449425
2019,1,gujarat,6652536
2019,1,sikkim,58956
2019,1,nagaland,53911
2019,1,mizoram,23670
2019,1,chhattisgarh,1908898
2019,1,jammu & kashmir,530669
2019,1,goa,238152
2019,1,arunachal pradesh,76957
2019,1,delhi,5499263
2019,1,uttarakhand,1224955
2019,2,puducherry,156458
2019,2,tamil nadu,7429609
2019,2,uttar pradesh,14316349
2019,2,madhya pradesh,7301172
2019,2,andhra pradesh,9389003
2019,2,tripura,217644
2019,2,lakshadweep,1747
2019,2,manipur,117747
2019,2,maharashtra,18776975
2019,2,dadra & nagar haveli & daman & diu,158580
2019,2,meghalaya,74746
2019,2,andaman & nicobar islands,21731
2019,2,haryana,5178030
2019,2,rajasthan,8783935
2019,2,ladakh,35516
2019,2,punjab,2600112
2019,2,assam,1500128
2019,2,jharkhand,2604854
2019,2,odisha,4845359
2019,2,bihar,6589759
2019,2,kerala,2550167
2019,2,karnataka,11968087
2019,2,chandigarh,240439
2019,2,telangana,9046007
2019,2,himachal pradesh,772603
2019,2,west bengal,8612795
2019,2,gujarat,7574645
2019,2,sikkim,70999
2019,2,nagaland,66891
2019,2,mizoram,28696
2019,2,chhattisgarh,2191066
2019,2,jammu & kashmir,631193
2019,2,goa,278940
2019,2,arunachal pradesh,95885
2019,2,delhi,6165448
2019,2,uttarakhand,1414339
2019,3,puducherry,177868
2019,3,tamil nadu,8428835
2019,3,uttar pradesh,16044607
2019,3,madhya pradesh,8180664
2019,3,andhra pradesh,10458693
2019,3,tripura,245456
2019,3,lakshadweep,2117
2019,3,manipur,136316
2019,3,maharashtra,21313081
2019,3,dadra & nagar haveli & daman & diu,176929
