year,quarter,state_name/ut_name,districts_name,registered_users
2018,1,chandigarh,chandigarh district,86268
2018,2,chandigarh,chandigarh district,115219
2018,3,chandigarh,chandigarh district,143893
2018,4,chandigarh,chandigarh district,177747
2019,1,chandigarh,chandigarh district,209175
2019,2,chandigarh,chandigarh district,240439
2019,3,chandigarh,chandigarh district,267337
2019,4,chandigarh,chandigarh district,289590
2020,1,chandigarh,chandigarh district,312887
2020,2,chandigarh,chandigarh district,336351
2020,3,chandigarh,chandigarh district,362588
2020,4,chandigarh,chandigarh district,391402
2021,1,chandigarh,chandigarh district,419998
2021,2,chandigarh,chandigarh district,448572
2021,3,chandigarh,chandigarh district,480463
2021,4,chandigarh,chandigarh district,512092
2022,1,chandigarh,chandigarh district,541549
2022,2,chandigarh,chandigarh district,569582
2022,3,chandigarh,chandigarh district,598698
2022,4,chandigarh,chandigarh district,627563
2018,1,sikkim,south district,3679
2018,1,sikkim,west district,2048
2018,1,sikkim,east district,12749
2018,1,sikkim,north district,1575
2018,2,sikkim,south district,5147
2018,2,sikkim,west district,2868
2018,2,sikkim,east district,17767
2018,2,sikkim,north district,2315
2018,3,sikkim,south district,6943
2018,3,sikkim,west district,4042
2018,3,sikkim,east district,23460
2018,3,sikkim,north district,3192
2018,4,sikkim,south district,8992
2018,4,sikkim,west district,5328
2018,4,sikkim,east district,29948
2018,4,sikkim,north district,4270
2019,1,sikkim,south district,11031
2019,1,sikkim,west district,6479
2019,1,sikkim,east district,36124
2019,1,sikkim,north district,5322
2019,2,sikkim,south district,13547
2019,2,sikkim,west district,8064
2019,2,sikkim,east district,43048
2019,2,sikkim,north district,6340
2019,3,sikkim,south district,16016
2019,3,sikkim,west district,9481
2019,3,sikkim,east district,49404
2019,3,sikkim,north district,7227
2019,4,sikkim,south district,18461
2019,4,sikkim,west district,11078
2019,4,sikkim,east district,55340
2019,4,sikkim,north district,8093
2020,1,sikkim,south district,21043
2020,1,sikkim,west district,12746
2020,1,sikkim,east district,61820
2020,1,sikkim,north district,9022
2020,2,sikkim,south district,24768
2020,2,sikkim,west district,15082
2020,2,sikkim,east district,69829
2020,2,sikkim,north district,10242
2020,3,sikkim,south district,28038
2020,3,sikkim,west district,17400
2020,3,sikkim,east district,78018
2020,3,sikkim,north district,11317
2020,4,sikkim,south district,31055
2020,4,sikkim,west district,19217
2020,4,sikkim,east district,85770
2020,4,sikkim,north district,12501
2021,1,sikkim,south district,33490
2021,1,sikkim,west district,20769
2021,1,sikkim,east district,92502
2021,1,sikkim,north district,13452
2021,2,sikkim,south district,35900
2021,2,sikkim,west district,22352
2021,2,sikkim,east district,99077
2021,2,sikkim,north district,14411
2021,3,sikkim,south district,38616
2021,3,sikkim,west district,24132
2021,3,sikkim,east district,106352
2021,3,sikkim,north district,15593
2021,4,sikkim,south district,41311
2021,4,sikkim,west district,25834
2021,4,sikkim,east district,113537
2021,4,sikkim,north district,16725
2022,1,sikkim,south district,43881
2022,1,sikkim,west district,27594
2022,1,sikkim,east district,120360
2022,1,sikkim,north district,17781
2022,2,sikkim,south district,46351
2022,2,sikkim,west district,29184
2022,2,sikkim,east district,126666
2022,2,sikkim,north district,18793
2022,3,sikkim,south district,48673
2022,3,sikkim,west district,30513
2022,3,sikkim,east district,133152
2022,3,sikkim,north district,19687
2022,4,sikkim,south district,50716
2022,4,sikkim,west district,31605
2022,4,sikkim,east district,139175
2022,4,sikkim,north district,20472
2018,1,karnataka,mysuru district,150799
2018,1,karnataka,chitradurga district,41656
2018,1,karnataka,kalaburagi district,81933
2018,1,karnataka,ramanagara district,47100
2018,1,karnataka,mandya district,50951
2018,1,karnataka,kodagu district,14783
2018,1,karnataka,chikkamagaluru district,32240
2018,1,karnataka,haveri district,33262
2018,1,karnataka,ballari district,103566
2018,1,karnataka,belagavi district,140320
2018,1,karnataka,kolar district,60498
2018,1,karnataka,uttara kannada district,48635
2018,1,karnataka,tumakuru district,82955
2018,1,karnataka,yadgir district,21121
2018,1,karnataka,bengaluru urban district,1922368
2018,1,karnataka,chikkaballapura district,43074
2018,1,karnataka,davanagere district,68178
2018,1,karnataka,bagalkote district,63460
2018,1,karnataka,vijayapura district,68814
2018,1,karnataka,koppal district,34963
2018,1,karnataka,bidar district,58446
2018,1,karnataka,bengaluru rural district,87955
2018,1,karnataka,raichur district,58544
2018,1,karnataka,chamarajanagara district,17398
2018,1,karnataka,dakshina kannada district,87491
2018,1,karnataka,hassan district,51642
2018,1,karnataka,dharwad district,106877
2018,1,karnataka,shivamogga district,60797
2018,1,karnataka,udupi district,49362
2018,1,karnataka,gadag district,28575
2018,2,karnataka,mysuru district,205044
2018,2,karnataka,chitradurga district,59180
2018,2,karnataka,kalaburagi district,113205
2018,2,karnataka,ramanagara district,66427
2018,2,karnataka,mandya district,71274
2018,2,karnataka,kodagu district,20698
2018,2,karnataka,chikkamagaluru district,45442
2018,2,karnataka,haveri district,47272
2018,2,karnataka,ballari district,140995
2018,2,karnataka,belagavi district,194698
2018,2,karnataka,kolar district,84688
2018,2,karnataka,uttara kannada district,65063
2018,2,karnataka,tumakuru district,116855
2018,2,karnataka,yadgir district,30466
2018,2,karnataka,bengaluru urban district,2553312
2018,2,karnataka,chikkaballapura district,59818
2018,2,karnataka,davanagere district,94405
2018,2,karnataka,bagalkote district,86717
2018,2,karnataka,vijayapura district,95448
2018,2,karnataka,koppal district,48604
2018,2,karnataka,bidar district,79155
2018,2,karnataka,bengaluru rural district,121048
2018,2,karnataka,raichur district,81353
2018,2,karnataka,chamarajanagara district,24920
2018,2,karnataka,dakshina kannada district,118271
2018,2,karnataka,hassan district,73330
2018,2,karnataka,dharwad district,144884
2018,2,karnataka,shivamogga district,83122
2018,2,karnataka,udupi district,65245
2018,2,karnataka,gadag district,39726
2018,3,karnataka,mysuru district,262075
2018,3,karnataka,chitradurga district,77743
2018,3,karnataka,kalaburagi district,145495
2018,3,karnataka,ramanagara district,86752
2018,3,karnataka,mandya district,94630
2018,3,karnataka,kodagu district,27661
2018,3,karnataka,chikkamagaluru district,59911
2018,3,karnataka,haveri district,62080
2018,3,karnataka,ballari district,177311
2018,3,karnataka,belagavi district,252307
2018,3,karnataka,kolar district,110883
2018,3,karnataka,uttara kannada district,83866
2018,3,karnataka,tumakuru district,154217
2018,3,karnataka,yadgir district,40716
2018,3,karnataka,bengaluru urban district,3167597
2018,3,karnataka,chikkaballapura district,78717
2018,3,karnataka,davanagere district,120506
2018,3,karnataka,bagalkote district,110608
2018,3,karnataka,vijayapura district,124561
2018,3,karnataka,koppal district,62937
2018,3,karnataka,bidar district,102087
2018,3,karnataka,bengaluru rural district,156268
2018,3,karnataka,raichur district,104416
2018,3,karnataka,chamarajanagara district,33703
2018,3,karnataka,dakshina kannada district,153231
2018,3,karnataka,hassan district,99071
2018,3,karnataka,dharwad district,181324
2018,3,karnataka,shivamogga district,107293
2018,3,karnataka,udupi district,83838
2018,3,karnataka,gadag district,50845
2018,4,karnataka,mysuru district,341636
2018,4,karnataka,chitradurga district,101817
2018,4,karnataka,kalaburagi district,186668
2018,4,karnataka,ramanagara district,115881
2018,4,karnataka,mandya district,127238
2018,4,karnataka,kodagu district,37481
2018,4,karnataka,chikkamagaluru district,77854
2018,4,karnataka,haveri district,80957
2018,4,karnataka,ballari district,226336
2018,4,karnataka,belagavi district,328102
2018,4,karnataka,kolar district,157183
2018,4,karnataka,uttara kannada district,106612
2018,4,karnataka,tumakuru district,203805
2018,4,karnataka,yadgir district,53372
2018,4,karnataka,bengaluru urban district,4126734
2018,4,karnataka,chikkaballapura district,107403
2018,4,karnataka,davanagere district,155006
2018,4,karnataka,bagalkote district,140282
2018,4,karnataka,vijayapura district,160346
2018,4,karnataka,koppal district,81642
2018,4,karnataka,bidar district,131005
2018,4,karnataka,bengaluru rural district,209778
2018,4,karnataka,raichur district,132914
2018,4,karnataka,chamarajanagara district,45547
2018,4,karnataka,dakshina kannada district,202453
2018,4,karnataka,hassan district,132797
2018,4,karnataka,dharwad district,230679
2018,4,karnataka,shivamogga district,138815
2018,4,karnataka,udupi district,109312
2018,4,karnataka,gadag district,66147
2019,1,karnataka,mysuru district,432208
2019,1,karnataka,chitradurga district,127578
2019,1,karnataka,kalaburagi district,230020
2019,1,karnataka,ramanagara district,148213
2019,1,karnataka,mandya district,164533
2019,1,karnataka,kodagu district,47953
2019,1,karnataka,chikkamagaluru district,98090
2019,1,karnataka,haveri district,100853
2019,1,karnataka,ballari district,281648
2019,1,karnataka,belagavi district,412265
2019,1,karnataka,kolar district,201909
2019,1,karnataka,uttara kannada district,131243
2019,1,karnataka,tumakuru district,258398
2019,1,karnataka,yadgir district,67099
2019,1,karnataka,bengaluru urban district,5003207
2019,1,karnataka,chikkaballapura district,137719
2019,1,karnataka,davanagere district,191840
2019,1,karnataka,bagalkote district,173415
2019,1,karnataka,vijayapura district,199735
2019,1,karnataka,koppal district,103151
2019,1,karnataka,bidar district,160253
2019,1,karnataka,bengaluru rural district,267147
2019,1,karnataka,raichur district,163836
2019,1,karnataka,chamarajanagara district,59101
2019,1,karnataka,dakshina kannada district,254135
2019,1,karnataka,hassan district,169484
2019,1,karnataka,dharwad district,287568
2019,1,karnataka,shivamogga district,174221
2019,1,karnataka,udupi district,136628
2019,1,karnataka,gadag district,82724
2019,2,karnataka,mysuru district,517839
2019,2,karnataka,chitradurga district,152893
2019,2,karnataka,kalaburagi district,267907
2019,2,karnataka,ramanagara district,177164
2019,2,karnataka,mandya district,200103
2019,2,karnataka,kodagu district,60977
2019,2,karnataka,chikkamagaluru district,119458
2019,2,karnataka,haveri district,120318
2019,2,karnataka,ballari district,330704
2019,2,karnataka,belagavi district,492435
2019,2,karnataka,kolar district,240400
2019,2,karnataka,uttara kannada district,155128
2019,2,karnataka,tumakuru district,312592
2019,2,karnataka,yadgir district,79499
2019,2,karnataka,bengaluru urban district,5694165
2019,2,karnataka,chikkaballapura district,165237
2019,2,karnataka,davanagere district,226600
2019,2,karnataka,bagalkote district,202371
2019,2,karnataka,vijayapura district,237960
2019,2,karnataka,koppal district,122344
2019,2,karnataka,bidar district,185622
2019,2,karnataka,bengaluru rural district,314610
2019,2,karnataka,raichur district,192262
2019,2,karnataka,chamarajanagara district,71698
2019,2,karnataka,dakshina kannada district,306684
2019,2,karnataka,hassan district,205501
2019,2,karnataka,dharwad district,342439
2019,2,karnataka,shivamogga district,210772
2019,2,karnataka,udupi district,163912
2019,2,karnataka,gadag district,98493
2019,3,karnataka,mysuru district,601068
2019,3,karnataka,chitradurga district,175696
2019,3,karnataka,kalaburagi district,306756
2019,3,karnataka,ramanagara district,205821
2019,3,karnataka,mandya district,234243
2019,3,karnataka,kodagu district,73300
2019,3,karnataka,chikkamagaluru district,140270
2019,3,karnataka,haveri district,138074
2019,3,karnataka,ballari district,376264
2019,3,karnataka,belagavi district,568340
2019,3,karnataka,kolar district,277877
2019,3,karnataka,uttara kannada district,177303
2019,3,karnataka,tumakuru district,366543
2019,3,karnataka,yadgir district,90633
2019,3,karnataka,bengaluru urban district,6383771
2019,3,karnataka,chikkaballapura district,191086
2019,3,karnataka,davanagere district,259239
2019,3,karnataka,bagalkote district,227893
2019,3,karnataka,vijayapura district,272575
2019,3,karnataka,koppal district,140202
2019,3,karnataka,bidar district,211382
2019,3,karnataka,bengaluru rural district,361924
2019,3,karnataka,raichur district,219963
2019,3,karnataka,chamarajanagara district,83829
2019,3,karnataka,dakshina kannada district,363240
2019,3,karnataka,hassan district,239587
2019,3,karnataka,dharwad district,397243
2019,3,karnataka,shivamogga district,246474
2019,3,karnataka,udupi district,191625
2019,3,karnataka,gadag district,112854
2019,4,karnataka,mysuru district,686169
2019,4,karnataka,chitradurga district,204763
2019,4,karnataka,kalaburagi district,355228
2019,4,karnataka,ramanagara district,238556
2019,4,karnataka,mandya district,272705
2019,4,karnataka,kodagu district,86496
2019,4,karnataka,chikkamagaluru district,164190
2019,4,karnataka,haveri district,160702
2019,4,karnataka,ballari district,429391
2019,4,karnataka,belagavi district,656749
2019,4,karnataka,kolar district,321279
2019,4,karnataka,uttara kannada district,202180
2019,4,karnataka,tumakuru district,428605
2019,4,karnataka,yadgir district,105445
2019,4,karnataka,bengaluru urban district,7016836
2019,4,karnataka,chikkaballapura district,221609
2019,4,karnataka,davanagere district,298755
2019,4,karnataka,bagalkote district,260054
2019,4,karnataka,vijayapura district,314097
2019,4,karnataka,koppal district,162861
2019,4,karnataka,bidar district,243303
2019,4,karnataka,bengaluru rural district,411896
2019,4,karnataka,raichur district,253236
2019,4,karnataka,chamarajanagara district,98140
2019,4,karnataka,dakshina kannada district,423031
2019,4,karnataka,hassan district,279728
2019,4,karnataka,dharwad district,452178
2019,4,karnataka,shivamogga district,286945
2019,4,karnataka,udupi district,220313
2019,4,karnataka,gadag district,129976
2020,1,karnataka,mysuru district,764697
2020,1,karnataka,chitradurga district,233840
2020,1,karnataka,kalaburagi district,402676
2020,1,karnataka,ramanagara district,267981
2020,1,karnataka,mandya district,309136
2020,1,karnataka,kodagu district,98612
2020,1,karnataka,chikkamagaluru district,186487
2020,1,karnataka,haveri district,184781
2020,1,karnataka,ballari district,481004
2020,1,karnataka,belagavi district,746925
2020,1,karnataka,kolar district,361750
2020,1,karnataka,uttara kannada district,226792
2020,1,karnataka,tumakuru district,488995
2020,1,karnataka,yadgir district,121589
2020,1,karnataka,bengaluru urban district,7564577
2020,1,karnataka,chikkaballapura district,250163
2020,1,karnataka,davanagere district,337445
2020,1,karnataka,bagalkote district,293935
2020,1,karnataka,vijayapura district,357428
2020,1,karnataka,koppal district,185866
2020,1,karnataka,bidar district,275072
2020,1,karnataka,bengaluru rural district,455608
2020,1,karnataka,raichur district,285797
2020,1,karnataka,chamarajanagara district,112400
2020,1,karnataka,dakshina kannada district,481992
2020,1,karnataka,hassan district,318850
2020,1,karnataka,dharwad district,502446
2020,1,karnataka,shivamogga district,324957
2020,1,karnataka,udupi district,247646
2020,1,karnataka,gadag district,147533
2020,2,karnataka,mysuru district,837003
2020,2,karnataka,chitradurga district,267374
2020,2,karnataka,kalaburagi district,455786
2020,2,karnataka,ramanagara district,297300
2020,2,karnataka,mandya district,346777
2020,2,karnataka,kodagu district,112121
