year,quarter,entity_type,entity_name,transaction_type,count,amount
2020,2,states,maharashtra,TOTAL,39836,6879717.0
2020,2,states,karnataka,TOTAL,27358,4794150.0
2020,2,states,andhra pradesh,TOTAL,22104,3982391.0
2020,2,states,telangana,TOTAL,19003,3419453.0
2020,2,states,delhi,TOTAL,11716,1897480.0
2020,2,states,uttar pradesh,TOTAL,9884,1912266.0
2020,2,states,gujarat,TOTAL,7697,1430591.0
2020,2,states,west bengal,TOTAL,7619,1432764.0
2020,2,states,haryana,TOTAL,6321,1179814.0
2020,2,states,madhya pradesh,TOTAL,6283,1198701.0
2020,2,districts,bengaluru urban,TOTAL,20040,3301769.0
2020,2,districts,pune,TOTAL,8699,1482628.0
2020,2,districts,thane,TOTAL,7559,1221018.0
2020,2,districts,mumbai suburban,TOTAL,5780,884439.0
2020,2,districts,hyderabad,TOTAL,4783,805518.0
2020,2,districts,rangareddy,TOTAL,4495,778492.0
2020,2,districts,medchal malkajgiri,TOTAL,4150,711890.0
2020,2,districts,visakhapatnam,TOTAL,3504,614212.0
2020,2,districts,aurangabad,TOTAL,2898,509460.0
2020,2,districts,anantapur,TOTAL,2739,485777.0
2020,2,pincodes,560068,TOTAL,1076,168415.0
2020,2,pincodes,560037,TOTAL,1034,155914.0
2020,2,pincodes,110059,TOTAL,895,132104.0
2020,2,pincodes,560076,TOTAL,802,124790.0
2020,2,pincodes,500072,TOTAL,760,122394.0
2020,2,pincodes,560078,TOTAL,742,119673.0
2020,2,pincodes,421201,TOTAL,668,104388.0
2020,2,pincodes,560100,TOTAL,651,103528.0
2020,2,pincodes,431003,TOTAL,651,107122.0
2020,2,pincodes,110092,TOTAL,638,94570.0
2020,3,states,maharashtra,TOTAL,71662,19230156.0
2020,3,states,karnataka,TOTAL,53701,12407394.0
2020,3,states,andhra pradesh,TOTAL,49812,12426481.0
2020,3,states,telangana,TOTAL,34395,8406543.0
2020,3,states,uttar pradesh,TOTAL,18131,4436969.0
2020,3,states,rajasthan,TOTAL,15235,3758527.0
2020,3,states,madhya pradesh,TOTAL,14476,3496126.0
2020,3,states,west bengal,TOTAL,12596,2878482.0
2020,3,states,gujarat,TOTAL,12525,3335812.0
2020,3,states,odisha,TOTAL,10955,2640191.0
2020,3,districts,bengaluru urban,TOTAL,32192,6940765.0
2020,3,districts,pune,TOTAL,18176,4567561.0
2020,3,districts,visakhapatnam,TOTAL,7906,1892376.0
2020,3,districts,thane,TOTAL,6951,1718946.0
2020,3,districts,rangareddy,TOTAL,6340,1509162.0
2020,3,districts,hyderabad,TOTAL,6331,1397580.0
2020,3,districts,medchal malkajgiri,TOTAL,5929,1415970.0
2020,3,districts,nashik,TOTAL,5564,1418697.0
2020,3,districts,spsr nellore,TOTAL,5509,1259159.0
2020,3,districts,krishna,TOTAL,4519,1093882.0
2020,3,pincodes,560068,TOTAL,1603,340876.0
2020,3,pincodes,560076,TOTAL,1148,250474.0
2020,3,pincodes,560078,TOTAL,1124,243443.0
2020,3,pincodes,500072,TOTAL,1103,243812.0
2020,3,pincodes,410501,TOTAL,1067,278535.0
2020,3,pincodes,345021,TOTAL,1003,203794.0
2020,3,pincodes,535003,TOTAL,968,195870.0
2020,3,pincodes,431003,TOTAL,926,209817.0
2020,3,pincodes,560037,TOTAL,923,202431.0
2020,3,pincodes,560079,TOTAL,904,183362.0
2020,4,states,maharashtra,TOTAL,44798,27113814.0
2020,4,states,karnataka,TOTAL,31747,26814968.0
2020,4,states,andhra pradesh,TOTAL,21464,12985632.0
2020,4,states,telangana,TOTAL,20961,11339099.0
2020,4,states,uttar pradesh,TOTAL,17470,14180417.0
2020,4,states,rajasthan,TOTAL,12509,6471573.0
2020,4,states,madhya pradesh,TOTAL,10653,4897124.0
2020,4,states,tamil nadu,TOTAL,10290,8993575.0
2020,4,states,west bengal,TOTAL,10233,7510455.0
2020,4,states,gujarat,TOTAL,9990,6055037.0
2020,4,districts,bengaluru urban,TOTAL,18485,15922383.0
2020,4,districts,pune,TOTAL,8211,4862704.0
2020,4,districts,thane,TOTAL,5939,4405413.0
2020,4,districts,mumbai suburban,TOTAL,4631,3301120.0
2020,4,districts,hyderabad,TOTAL,3682,1892565.0
2020,4,districts,rangareddy,TOTAL,3486,2124943.0
2020,4,districts,visakhapatnam,TOTAL,3464,2203761.0
2020,4,districts,jaipur,TOTAL,3318,1641429.0
2020,4,districts,medchal malkajgiri,TOTAL,3298,2034226.0
2020,4,districts,nashik,TOTAL,2903,1492155.0
2020,4,pincodes,560068,TOTAL,849,653177.0
2020,4,pincodes,421302,TOTAL,609,459248.0
2020,4,pincodes,560079,TOTAL,565,461758.0
2020,4,pincodes,500072,TOTAL,554,307425.0
2020,4,pincodes,560078,TOTAL,536,398681.0
2020,4,pincodes,560076,TOTAL,525,495928.0
