year,quarter,entity_type,entity_name,transaction_type,count,amount
2020,2,districts,chandigarh,TOTAL,149,29537.0
2020,2,pincodes,160101,TOTAL,31,6158.0
2020,2,pincodes,160047,TOTAL,25,4718.0
2020,2,pincodes,160036,TOTAL,16,3261.0
2020,2,pincodes,160023,TOTAL,12,2002.0
2020,2,pincodes,160014,TOTAL,10,2186.0
2020,2,pincodes,160001,TOTAL,9,1735.0
2020,2,pincodes,160022,TOTAL,9,1725.0
2020,2,pincodes,160030,TOTAL,7,1925.0
2020,2,pincodes,160002,TOTAL,6,1201.0
2020,2,pincodes,160012,TOTAL,4,739.0
2020,3,districts,chandigarh,TOTAL,264,70969.0
2020,3,pincodes,160047,TOTAL,48,11353.0
2020,3,pincodes,160101,TOTAL,39,12418.0
2020,3,pincodes,160036,TOTAL,28,6734.0
2020,3,pincodes,160022,TOTAL,28,6267.0
2020,3,pincodes,160002,TOTAL,20,7736.0
2020,3,pincodes,160030,TOTAL,19,5037.0
2020,3,pincodes,160014,TOTAL,13,3266.0
2020,3,pincodes,160003,TOTAL,11,2698.0
2020,3,pincodes,160019,TOTAL,10,3452.0
2020,3,pincodes,160025,TOTAL,9,2765.0
2020,4,districts,chandigarh,TOTAL,200,153341.0
2020,4,pincodes,160101,TOTAL,35,26948.0
2020,4,pincodes,160047,TOTAL,23,20300.0
2020,4,pincodes,160022,TOTAL,17,8093.0
2020,4,pincodes,160014,TOTAL,17,13335.0
2020,4,pincodes,160002,TOTAL,17,18628.0
2020,4,pincodes,160036,TOTAL,14,15088.0
2020,4,pincodes,160001,TOTAL,10,5832.0
2020,4,pincodes,160003,TOTAL,10,10356.0
2020,4,pincodes,160017,TOTAL,10,5158.0
2020,4,pincodes,160020,TOTAL,9,4577.0
2021,1,districts,chandigarh,TOTAL,338,238576.0
2021,1,pincodes,160101,TOTAL,51,30704.0
2021,1,pincodes,160036,TOTAL,46,19175.0
2021,1,pincodes,160002,TOTAL,41,42248.0
2021,1,pincodes,160047,TOTAL,30,25522.0
2021,1,pincodes,160022,TOTAL,30,14900.0
2021,1,pincodes,160014,TOTAL,24,10528.0
