year,quarter,entity_type,entity_name,transaction_type,count,amount
2018,1,states,maharashtra,TOTAL,16387034,21711613257.725674
2018,1,states,uttar pradesh,TOTAL,12537805,13939970923.223106
2018,1,states,karnataka,TOTAL,12016899,19217895314.012802
2018,1,states,west bengal,TOTAL,11710225,10625978552.140453
2018,1,states,andhra pradesh,TOTAL,9039585,11996276391.823706
2018,1,states,telangana,TOTAL,8522766,13308204118.542435
2018,1,states,madhya pradesh,TOTAL,8025395,8681603403.446348
2018,1,states,rajasthan,TOTAL,7591690,8926293130.72684
2018,1,states,delhi,TOTAL,7122754,11211503806.91996
2018,1,states,tamil nadu,TOTAL,6726622,11261557697.516891
2018,1,districts,bengaluru urban,TOTAL,8306513,14162750303.06484
2018,1,districts,pune,TOTAL,3842929,5378982326.835919
2018,1,districts,central delhi,TOTAL,2997714,4312145216.274474
2018,1,districts,mumbai,TOTAL,2671029,3923116793.952079
2018,1,districts,chennai,TOTAL,2656230,4281137762.522443
2018,1,districts,hyderabad,TOTAL,2545507,4287223789.76588
2018,1,districts,jaipur,TOTAL,2417174,2953086960.1413727
2018,1,districts,birbhum,TOTAL,2125816,2520486412.452376
2018,1,districts,kolkata,TOTAL,2043129,2753347660.1429114
2018,1,districts,bhopal,TOTAL,1704495,1905473874.8326716
2018,1,pincodes,560001,TOTAL,2917356,4684262246.184548
2018,1,pincodes,110006,TOTAL,2636324,3714139312.238586
2018,1,pincodes,400008,TOTAL,2227885,3105208723.475169
2018,1,pincodes,600003,TOTAL,2010196,2997847000.265506
2018,1,pincodes,731101,TOTAL,1764956,2366771285.7278423
2018,1,pincodes,700009,TOTAL,1390629,1851145374.4001179
2018,1,pincodes,411001,TOTAL,1055656,1413523605.5956619
2018,1,pincodes,500012,TOTAL,933013,1643061976.4262943
2018,1,pincodes,462001,TOTAL,832846,898730606.684653
2018,1,pincodes,201301,TOTAL,690196,987613438.9540119
2018,2,states,maharashtra,TOTAL,22285740,36357057241.12254
2018,2,states,west bengal,TOTAL,18082446,18629183470.204285
2018,2,states,uttar pradesh,TOTAL,17710943,25720201695.701435
2018,2,states,karnataka,TOTAL,17116447,33515580081.29709
2018,2,states,andhra pradesh,TOTAL,12353918,22883914272.633617
2018,2,states,telangana,TOTAL,10764670,23017201517.652737
2018,2,states,madhya pradesh,TOTAL,10561412,15924081066.680984
2018,2,states,tamil nadu,TOTAL,9992128,20125844276.267662
2018,2,states,rajasthan,TOTAL,9973697,15559086175.759623
2018,2,states,delhi,TOTAL,9373723,17446299902.205147
2018,2,districts,bengaluru urban,TOTAL,11916035,23824727965.49048
2018,2,districts,pune,TOTAL,5162876,8513428062.925206
2018,2,districts,chennai,TOTAL,3719593,7305357440.752291
2018,2,districts,central delhi,TOTAL,3589206,6223466821.092629
2018,2,districts,mumbai,TOTAL,3277612,6048515205.760132
2018,2,districts,jaipur,TOTAL,3175255,4952882923.415596
2018,2,districts,hyderabad,TOTAL,3156805,6628159910.681627
2018,2,districts,birbhum,TOTAL,2775489,3988930679.767912
2018,2,districts,kolkata,TOTAL,2501448,4109821729.8900533
2018,2,districts,north twenty four parganas,TOTAL,2119664,2509379355.091834
2018,2,pincodes,560001,TOTAL,3777086,7545089760.607167
2018,2,pincodes,110006,TOTAL,3069733,5237594871.124264
2018,2,pincodes,600003,TOTAL,2771900,5194488793.022476
2018,2,pincodes,400008,TOTAL,2631405,4703762207.003538
2018,2,pincodes,731101,TOTAL,2134258,3697928407.603048
2018,2,pincodes,700009,TOTAL,1473202,2566583723.725673
2018,2,pincodes,411001,TOTAL,1316115,2145613783.5507011
2018,2,pincodes,500012,TOTAL,1024336,2257038218.1929708
2018,2,pincodes,201301,TOTAL,971854,1673280979.3831716
2018,2,pincodes,462001,TOTAL,928983,1443626493.1959715
2018,3,states,west bengal,TOTAL,53705416,41843934183.177635
2018,3,states,maharashtra,TOTAL,31538538,52260817733.24835
2018,3,states,odisha,TOTAL,30052155,23094515775.585762
2018,3,states,uttar pradesh,TOTAL,26515356,37012114369.23937
2018,3,states,karnataka,TOTAL,25980261,48225091755.80772
2018,3,states,andhra pradesh,TOTAL,25626061,35718044599.21416
2018,3,states,telangana,TOTAL,19332703,32030093209.72354
2018,3,states,delhi,TOTAL,18547048,27375846860.618515
2018,3,states,madhya pradesh,TOTAL,17126985,24149742204.673225
2018,3,states,tamil nadu,TOTAL,15774078,29330092241.18405
2018,3,districts,bengaluru urban,TOTAL,18405424,33812835282.27632
2018,3,districts,central delhi,TOTAL,8165361,10515884583.426525
2018,3,districts,pune,TOTAL,7890491,12601613622.467594
2018,3,districts,birbhum,TOTAL,6066238,6130627463.516832
2018,3,districts,chennai,TOTAL,5887343,10122319547.137985
2018,3,districts,hyderabad,TOTAL,5786941,9503554478.108147
2018,3,districts,khordha,TOTAL,5333443,4389717266.977921
2018,3,districts,bankura,TOTAL,5179457,2464193070.534754
2018,3,districts,jaipur,TOTAL,4954443,7882149494.55468
2018,3,districts,north twenty four parganas,TOTAL,4856114,4545902671.152222
2018,3,pincodes,110006,TOTAL,7198882,9029499185.157822
2018,3,pincodes,560001,TOTAL,5764203,10161197002.295376
2018,3,pincodes,600003,TOTAL,4430587,7070098756.153783
2018,3,pincodes,400008,TOTAL,3111609,5436005565.19679
2018,3,pincodes,731101,TOTAL,2644866,4429377129.783087
2018,3,pincodes,700009,TOTAL,2531420,3555553312.5767612
2018,3,pincodes,500012,TOTAL,1726388,3077635699.337487
2018,3,pincodes,411001,TOTAL,1689517,2829639683.4067717
2018,3,pincodes,221001,TOTAL,1439623,671779876.5266988
2018,3,pincodes,201301,TOTAL,1438458,2181626866.4046803
2018,4,states,maharashtra,TOTAL,46090223,79518937047.82959
2018,4,states,karnataka,TOTAL,44812071,73008386576.05942
2018,4,states,west bengal,TOTAL,36513548,40489619211.70402
2018,4,states,uttar pradesh,TOTAL,36100767,55096743575.91497
2018,4,states,andhra pradesh,TOTAL,30759548,51473779406.84041
2018,4,states,delhi,TOTAL,29187719,39722857618.706436
2018,4,states,telangana,TOTAL,28921154,49509088448.04927
2018,4,states,tamil nadu,TOTAL,22457444,43302073975.890976
2018,4,states,madhya pradesh,TOTAL,21397555,33905608072.964783
2018,4,states,odisha,TOTAL,21142798,23429869571.55922
2018,4,districts,bengaluru urban,TOTAL,33061353,50279165003.07312
2018,4,districts,pune,TOTAL,11075153,18048884123.019886
2018,4,districts,central delhi,TOTAL,9373395,13878492766.290386
2018,4,districts,hyderabad,TOTAL,9360515,14727846731.548256
2018,4,districts,chennai,TOTAL,8007699,14632395110.56675
2018,4,districts,jaipur,TOTAL,7271209,12107341570.492035
2018,4,districts,gautam buddha nagar,TOTAL,6083056,7483532543.63562
2018,4,districts,mumbai,TOTAL,6060284,11506143747.453331
2018,4,districts,rangareddy,TOTAL,5803319,9396311751.227482
2018,4,districts,kolkata,TOTAL,5401244,8502095208.881001
2018,4,pincodes,560001,TOTAL,7725284,14030425393.295612
2018,4,pincodes,110006,TOTAL,7532374,11605568511.039162
2018,4,pincodes,600003,TOTAL,5539392,10066365923.24963
2018,4,pincodes,400008,TOTAL,4586309,8474903607.1238575
2018,4,pincodes,731101,TOTAL,3284268,5847016363.011223
2018,4,pincodes,700009,TOTAL,2939284,4991163446.523161
2018,4,pincodes,500012,TOTAL,2576408,4841883809.168822
2018,4,pincodes,201301,TOTAL,2504916,3217987818.841588
2018,4,pincodes,411001,TOTAL,2176631,3917444399.4306126
2018,4,pincodes,560068,TOTAL,1630650,1941175277.185885
2019,1,states,karnataka,TOTAL,86587609,117976382145.74966
2019,1,states,maharashtra,TOTAL,75079069,111420690920.33997
2019,1,states,telangana,TOTAL,65290702,95523262035.66321
2019,1,states,uttar pradesh,TOTAL,57324504,76524180134.0167
2019,1,states,andhra pradesh,TOTAL,57264522,83760595917.0792
2019,1,states,west bengal,TOTAL,47626388,50164672623.8785
2019,1,states,delhi,TOTAL,47007327,58469131789.49733
2019,1,states,rajasthan,TOTAL,43956040,61141158575.55252
2019,1,states,madhya pradesh,TOTAL,37301049,48070279522.042015
2019,1,states,odisha,TOTAL,34031942,35427127930.698456
2019,1,districts,bengaluru urban,TOTAL,65174133,82111161572.76288
2019,1,districts,hyderabad,TOTAL,24838664,34892156029.40753
2019,1,districts,pune,TOTAL,23360634,32233517413.825317
2019,1,districts,jaipur,TOTAL,19178441,25043540802.372772
2019,1,districts,rangareddy,TOTAL,12952050,17677048557.63253
2019,1,districts,central delhi,TOTAL,12885975,16258175800.83931
2019,1,districts,chennai,TOTAL,11642449,18810971714.51368
2019,1,districts,gautam buddha nagar,TOTAL,10750094,10286434896.5461
