year,quarter,entity_type,entity_name,transaction_type,count,amount
2018,1,districts,chandigarh,TOTAL,381895,613435420.8676233
2018,1,pincodes,160008,TOTAL,204745,303482049.9617378
2018,1,pincodes,160101,TOTAL,26317,45629483.25738168
2018,1,pincodes,160002,TOTAL,23236,34003082.958676964
2018,1,pincodes,160036,TOTAL,18446,30891354.282069795
2018,1,pincodes,160022,TOTAL,16228,34028151.809265435
2018,1,pincodes,160047,TOTAL,15552,28142251.965099327
2018,1,pincodes,160014,TOTAL,9358,14326394.802342271
2018,1,pincodes,160015,TOTAL,9023,13830194.973553631
2018,1,pincodes,160019,TOTAL,8102,14609531.116674677
2018,1,pincodes,160030,TOTAL,7330,14108196.59861918
2018,2,districts,chandigarh,TOTAL,479084,961223261.74473
2018,2,pincodes,160008,TOTAL,219223,426354525.80047756
2018,2,pincodes,160101,TOTAL,38949,81225814.38714588
2018,2,pincodes,160002,TOTAL,31907,63185486.63534354
2018,2,pincodes,160036,TOTAL,26201,47887567.92420156
2018,2,pincodes,160047,TOTAL,24585,46077281.394195825
2018,2,pincodes,160022,TOTAL,24378,54816690.07463748
2018,2,pincodes,160014,TOTAL,14441,24125872.265514676
2018,2,pincodes,160015,TOTAL,12986,25510014.882471144
2018,2,pincodes,160019,TOTAL,12083,28119972.41832822
2018,2,pincodes,160030,TOTAL,11243,24007390.16346115
2018,3,districts,chandigarh,TOTAL,616936,1369354447.5343118
2018,3,pincodes,160008,TOTAL,266799,565737482.4917
2018,3,pincodes,160101,TOTAL,53316,111246556.54514843
2018,3,pincodes,160002,TOTAL,44225,90245086.61515313
2018,3,pincodes,160022,TOTAL,34777,78699635.29348363
2018,3,pincodes,160036,TOTAL,33483,76978447.3422182
2018,3,pincodes,160047,TOTAL,30570,74732534.329635
2018,3,pincodes,160014,TOTAL,19926,42831365.468974754
2018,3,pincodes,160015,TOTAL,18027,44863641.9194489
2018,3,pincodes,160019,TOTAL,16836,41569409.38325335
2018,3,pincodes,160030,TOTAL,14940,36478520.547856964
2018,4,districts,chandigarh,TOTAL,905116,2032591591.779975
2018,4,pincodes,160008,TOTAL,396339,895353190.2196677
2018,4,pincodes,160101,TOTAL,85138,159555894.3719145
2018,4,pincodes,160002,TOTAL,61325,132815194.36630252
2018,4,pincodes,160036,TOTAL,50267,116785589.50341249
2018,4,pincodes,160022,TOTAL,45905,106072949.45696858
2018,4,pincodes,160047,TOTAL,44348,110163686.02722788
2018,4,pincodes,160014,TOTAL,29308,51286581.168882415
2018,4,pincodes,160015,TOTAL,27323,61334725.92984481
2018,4,pincodes,160019,TOTAL,22314,56223818.72098614
2018,4,pincodes,160030,TOTAL,20591,49995727.51926135
2019,1,districts,chandigarh,TOTAL,1274476,2396032050.444029
2019,1,pincodes,160008,TOTAL,574769,1069931934.1313274
2019,1,pincodes,160101,TOTAL,145641,195216162.14868194
2019,1,pincodes,160002,TOTAL,88708,159879389.94589326
2019,1,pincodes,160036,TOTAL,64777,131055127.13712463
2019,1,pincodes,160022,TOTAL,60415,123937719.9858828
2019,1,pincodes,160047,TOTAL,54281,122276420.81631088
2019,1,pincodes,160014,TOTAL,35848,64999227.392938524
2019,1,pincodes,160015,TOTAL,33699,70740802.7655864
2019,1,pincodes,160019,TOTAL,31111,62794996.09691887
2019,1,pincodes,160030,TOTAL,25421,54605920.69093012
2019,2,districts,chandigarh,TOTAL,1252470,2693116098.9444556
2019,2,pincodes,160008,TOTAL,515736,1195330472.0624313
2019,2,pincodes,160101,TOTAL,122225,213026619.1436175
2019,2,pincodes,160002,TOTAL,85284,178483766.34705296
2019,2,pincodes,160036,TOTAL,76218,147024084.65837026
2019,2,pincodes,160022,TOTAL,68095,145253626.0275789
2019,2,pincodes,160047,TOTAL,65539,146481996.88499743
2019,2,pincodes,160014,TOTAL,40627,73519583.64285952
2019,2,pincodes,160015,TOTAL,36891,72651519.24702394
2019,2,pincodes,160019,TOTAL,34162,71927514.28688887
2019,2,pincodes,160030,TOTAL,27361,61132946.538075775
2019,3,districts,chandigarh,TOTAL,1506543,3269682087.660841
2019,3,pincodes,160008,TOTAL,463581,1411083644.7822614
2019,3,pincodes,160101,TOTAL,165578,261798279.022841
2019,3,pincodes,160036,TOTAL,118544,195039837.15322012
2019,3,pincodes,160002,TOTAL,113594,205359149.60862035
